Date,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS,AXISBANK.NS
2022-04-26 00:00:00+05:30,641.98046875,725.0397338867188,346.663818359375,771.1828002929688
2022-04-27 00:00:00+05:30,642.2144165039062,708.6392211914062,346.4250793457031,762.1276245117188
2022-04-28 00:00:00+05:30,641.6528930664062,718.691162109375,351.2290954589844,775.9591064453125
2022-04-29 00:00:00+05:30,647.8525390625,714.98779296875,356.2220764160156,725.0112915039062
2022-05-02 00:00:00+05:30,656.7894287109375,712.7754516601562,352.959716796875,723.7673950195312
2022-05-04 00:00:00+05:30,634.4706420898438,696.6635131835938,353.2084045410156,703.7167358398438
2022-05-05 00:00:00+05:30,633.0435180664062,701.0401611328125,357.584716796875,698.8905639648438
2022-05-06 00:00:00+05:30,616.5032958984375,691.8538208007812,353.1487121582031,670.083251953125
2022-05-09 00:00:00+05:30,617.55615234375,683.2928466796875,351.59710693359375,660.4309692382812
2022-05-10 00:00:00+05:30,627.4755859375,684.2066650390625,357.49517822265625,656.5004272460938
2022-05-11 00:00:00+05:30,631.0081787109375,686.9962158203125,360.0413818359375,669.0383911132812
2022-05-12 00:00:00+05:30,616.7843627929688,669.2969970703125,350.2842102050781,646.4501953125
2022-05-13 00:00:00+05:30,611.246337890625,651.5498046875,353.994140625,632.8176879882812
2022-05-16 00:00:00+05:30,617.7546997070312,656.984619140625,360.6183166503906,635.8029174804688
2022-05-17 00:00:00+05:30,621.9674682617188,682.9561157226562,366.0787353515625,651.72412109375
2022-05-18 00:00:00+05:30,621.9201049804688,680.4071044921875,367.3717041015625,656.2019653320312
2022-05-19 00:00:00+05:30,609.2109375,664.006591796875,354.7599792480469,646.9974975585938
2022-05-20 00:00:00+05:30,625.257080078125,682.5233154296875,363.8607177734375,669.78466796875
2022-05-23 00:00:00+05:30,617.2340698242188,683.9662475585938,368.8636169433594,672.0235595703125
2022-05-24 00:00:00+05:30,624.3104858398438,681.1766357421875,374.4931640625,660.7792358398438
2022-05-25 00:00:00+05:30,628.972900390625,686.1785888671875,379.4563293457031,661.7245483398438
2022-05-26 00:00:00+05:30,646.912353515625,700.7515258789062,379.6751403808594,679.8847045898438
2022-05-27 00:00:00+05:30,658.91162109375,711.62109375,387.14471435546875,684.9098510742188
2022-05-30 00:00:00+05:30,663.4082641601562,719.98974609375,378.5910339355469,690.2335815429688
2022-05-31 00:00:00+05:30,657.4442138671875,724.1740112304688,367.38165283203125,681.8250732421875
2022-06-01 00:00:00+05:30,660.2369384765625,723.9817504882812,371.01202392578125,682.6708374023438
2022-06-02 00:00:00+05:30,655.6218872070312,721.1920776367188,369.530029296875,688.143798828125
2022-06-03 00:00:00+05:30,653.349853515625,715.9497680664062,369.7289733886719,673.9639892578125
2022-06-06 00:00:00+05:30,652.4740600585938,718.306396484375,371.8475036621094,668.88916015625
2022-06-07 00:00:00+05:30,644.9716796875,707.2445068359375,369.6294860839844,662.5703735351562
2022-06-08 00:00:00+05:30,647.2437744140625,701.7134399414062,367.1131591796875,655.3560791015625
2022-06-09 00:00:00+05:30,652.119140625,704.8396606445312,371.03192138671875,658.0427856445312
2022-06-10 00:00:00+05:30,639.5283203125,692.5753173828125,356.4309387207031,657.44580078125
2022-06-13 00:00:00+05:30,627.9315185546875,661.7941284179688,345.5995788574219,645.753662109375
2022-06-14 00:00:00+05:30,621.0208129882812,659.3893432617188,346.06707763671875,647.5447387695312
2022-06-15 00:00:00+05:30,618.8670043945312,661.07275390625,345.4603271484375,647.2960205078125
2022-06-16 00:00:00+05:30,606.4892578125,652.6560668945312,333.3558349609375,631.7728881835938
2022-06-17 00:00:00+05:30,610.4889526367188,660.6879272460938,332.9181823730469,632.0712890625
2022-06-20 00:00:00+05:30,625.8251953125,659.822265625,334.03216552734375,625.205322265625
2022-06-21 00:00:00+05:30,632.6412353515625,669.5856323242188,334.48968505859375,633.364990234375
2022-06-22 00:00:00+05:30,629.6591796875,660.4474487304688,332.1424255371094,623.7127075195312
